"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3450583","CAN","4605 S TRASK ST","TAMPA","33611","$475,000","","","","126","126","One","","","","Square Feet","1956","1,533","2,085"
"1","T3423855","CAN","306 N HIMES AVE","TAMPA","33609","$475,000","","","","77","77","One","","","","Square Feet","1956","1,162","1,258"
"1","T3371905","CAN","8603 N SEMINOLE AVE","TAMPA","33604","$475,000","","","","403","403","One","","2","","Square Feet","2023","1,530","1,921"
"1","T3398136","CAN","5607 BROOKDALE WAY","TAMPA","33625","$477,900","","","","236","236","One","","2","","Square Feet","1998","1,644",""
"1","T3447461","CAN","13506 LITTLE LAKE PL","TAMPA","33613","$478,500","","","","65","65","One","","2","","Square Feet","1968","2,345","3,026"
"1","T3464880","CAN","15032 SHAW RD","TAMPA","33625","$478,900","","","","45","45","One","","2","","Square Feet","1999","1,810","2,405"
"1","T3484909","CAN","11301 N ROME AVE","TAMPA","33612","$479,000","","","","19","19","One","","","","Square Feet","1956","1,436","1,436"
"1","T3463089","CAN","8902 ABERDEEN CREEK CIR","RIVERVIEW","33569","$479,000","","","","89","89","One","","2","","Square Feet","2002","2,276","3,150"
"1","U8207000","CAN","4524 W ELM ST","TAMPA","33614","$479,000","","","","71","71","Two","","1","","Square Feet","1967","1,440","2,080"
"1","T3455002","CAN","5504 RAVEN CT","TAMPA","33625","$479,000","","","","61","61","Multi/Split","","2","","Square Feet","1979","1,780","2,682"
"1","T3449542","CAN","7112 EARLY GOLD LN","RIVERVIEW","33578","$479,000","","","","107","107","Two","","2","","Square Feet","2006","2,897","6,969"
"1","T3438079","CAN","2110 MALIBU DR","BRANDON","33511","$479,000","","","","133","133","One","","","","Square Feet","1966","2,248","2,976"
"1","T3483754","CAN","13334 PALMERA VISTA DR","RIVERVIEW","33579","$479,900","","","","39","155","Two","","2","","Square Feet","2016","2,546","3,684"
"1","T3455030","CAN","3708 W TYSON AVE","TAMPA","33611","$479,900","","","","56","257","One","","","","Square Feet","1958","1,416","1,560"
"1","T3453527","CAN","702 W OHIO AVE","TAMPA","33603","$479,900","","","","41","41","One","","","","Square Feet","1952","1,200","1,244"
"1","T3481655","CAN","3208 W SAINT JOHN ST","TAMPA","33607","$480,000","","","","42","42","One","","","","Square Feet","1959","1,382","1,382"
"1","T3469564","CAN","306 E CLAY AVE","BRANDON","33510","$480,000","","","","59","59","One","","2","","Square Feet","2022","1,536","9,216"
"1","T3452597","CAN","7610 BLUE IRIS LN","TAMPA","33619","$480,000","","","","113","113","Two","","2","","Square Feet","2019","2,415","2,881"
"1","T3449936","CAN","4523 S CAMERON AVE","TAMPA","33611","$481,200","","","","62","143","One","","","","Square Feet","1954","1,414","1,414"
"1","T3457532","CAN","7127 FOREST MERE DR","RIVERVIEW","33578","$484,900","","","","36","98","Two","","2","","Square Feet","2008","2,879","3,616"
"1","T3477272","CAN","1218 HUMMINGBIRD LN","BRANDON","33511","$485,000","","","","43","43","Multi/Split","","2","","Square Feet","1962","1,752","2,488"
"1","T3452210","CAN","11642 HIDDEN HOLLOW CIR","TAMPA","33635","$489,000","","","","13","13","Two","","2","","Square Feet","1988","1,663","1,663"
"1","T3444388","CAN","2521 W UNION ST","TAMPA","33607","$489,000","","","","149","149","Two","","","","Square Feet","2022","1,800","1,800"
"1","T3456516","CAN","13334 PALMERA VISTA DR","RIVERVIEW","33579","$489,900","","","","116","116","Two","","2","21x20","Square Feet","2016","2,546","3,684"
"1","T3445804","CAN","1313 W HUMPHREY ST","TAMPA","33604","$489,900","","","","23","23","One","","1","","Square Feet","2020","1,508","1,786"
"1","U8186883","CAN","208 WATKINS WAY","BRANDON","33510","$489,900","","","","85","85","One","","5","60x20","Square Feet","1966","2,116","3,852"
"1","T3454705","CAN","5535 PENTAIL CIR","TAMPA","33625","$490,000","","","","96","96","One","","2","","Square Feet","1980","1,685","8,250"
"1","O6134293","CAN","7206 RIDGEPORT DR","TAMPA","33647","$494,440","","","","85","85","One","","2","22X20","Square Feet","1989","1,811","2,614"
"1","T3443088","CAN","7127 FOREST MERE DR","RIVERVIEW","33578","$494,500","","","","62","62","Two","","2","","Square Feet","2008","2,879","3,616"
"1","U8150183","CAN","11021 RISING MIST BLVD","RIVERVIEW","33578","$494,950","","","","502","502","Two","","2","","Square Feet","2005","3,879","3,879"
"1","U8210969","CAN","2308 BRIANA DR","BRANDON","33511","$495,000","","","","10","10","One","","2","20x20","Square Feet","2000","1,828","2,508"
"1","A4577857","CAN","1309 W BURGER ST","TAMPA","33604","$495,000","","","","11","11","One","","2","20x20","Square Feet","2016","1,552","2,255"
"1","T3461302","CAN","15902 COUNTRY FARM PL","TAMPA","33624","$495,000","","","","55","55","One","","2","20x22","Square Feet","1981","1,836","1,836"
"1","T3448962","CAN","10867 CORY LAKE DR","TAMPA","33647","$495,000","","","","18","18","One","","2","","Square Feet","2004","1,710","2,489"
"1","T3447906","CAN","10021 REMINGTON DR","RIVERVIEW","33578","$495,000","","","","85","85","One","","3","","Square Feet","1999","2,232","3,139"
"1","T3443026","CAN","3012 JUSTAMERE LN","TAMPA","33614","$495,000","","","","89","89","One","","","","Square Feet","1955","2,168","2,780"
"1","T3404353","CAN","206 WILD OAK DR","BRANDON","33511","$495,000","","","","55","55","One","","2","","Square Feet","1977","2,300","2,762"
