"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3470257","ACT","610 SPRING BLOSSOM CT","BRANDON","33511","$519,000","","","","102","102","Two","","2","","Square Feet","1985","3,262","4,030"
"1","T3491060","ACT","13170 PALMERSTON RD","RIVERVIEW","33579","$519,675","","","","7","7","Two","","2","20X20","Square Feet","2024","3,326","3,726"
"1","T3485950","ACT","13156 PALMERSTON RD","RIVERVIEW","33579","$519,675","","","","35","35","Two","","2","20X20","Square Feet","2024","3,326","3,726"
"1","T3481570","ACT","12632 MAPLE BONSAI DR","RIVERVIEW","33579","$519,675","","","","55","55","Two","","2","20X20","Square Feet","2024","3,326","3,726"
"1","T3470214","ACT","13138 PALMERSTON RD","RIVERVIEW","33579","$519,675","","","","104","104","Two","","2","20X20","Square Feet","2024","3,326","3,726"
"1","T3469133","ACT","6822 S WALL ST","TAMPA","33616","$519,700","","","","103","103","One","","","","Square Feet","1971","1,580","1,833"
"1","T3489584","ACT","5011 CARROLLWOOD MEADOWS DR","TAMPA","33625","$520,000","","","","15","15","One","","2","","Square Feet","1981","1,531","2,005"
"1","T3489448","ACT","6314 RHONDA RD","TAMPA","33615","$520,000","","","","12","12","One","","","","Square Feet","1957","740","1,200"
"1","T3485632","ACT","7402 OVERBROOK DR","TAMPA","33634","$520,000","","","","33","33","Two","","2","21x20","Square Feet","1973","2,388","3,017"
"1","U8214848","ACT","20131 NOB OAK AVE","TAMPA","33647","$520,000","","","","83","83","Two","","3","","Square Feet","2005","3,402","4,083"
"1","T3461014","ACT","4716 ASHTON CT","TAMPA","33624","$520,000","","","","117","117","One","","2","","Square Feet","1985","1,737","2,762"
"1","T3456995","ACT","204 W POWHATAN AVE","TAMPA","33604","$520,000","","","","152","152","One","","","","Square Feet","1950","1,476","1,524"
"1","T3490212","ACT","16032 EAGLE RIVER WAY","TAMPA","33624","$521,000","","","","13","13","One","","2","","Square Feet","1984","1,608","2,210"
"1","T3483148","ACT","11117 ANCIENT FUTURES DR","TAMPA","33647","$524,000","","","","39","39","Two","","2","","Square Feet","2008","2,713","3,554"
"1","T3476415","ACT","8610 THIMBLEBERRY LN","TAMPA","33635","$524,000","","","","77","77","One","","2","24x40","Square Feet","1986","1,666","2,253"
"1","T3453873","ACT","8710 HYDER JO LN","TAMPA","33615","$524,000","","","","163","163","Two","","","","Square Feet","2003","1,848","2,074"
"1","OM668465","ACT","11202 TRALEE DR","RIVERVIEW","33569","$524,900","","","","27","27","One","","2","","Square Feet","1978","2,218","3,283"
"1","U8220946","ACT","12607 AVELAR CREEK DR","RIVERVIEW","33578","$524,900","","","","34","34","One","","3","","Square Feet","2013","2,042","2,947"
"1","T3491901","ACT","3313 W PEARL AVE","TAMPA","33611","$525,000","","","","3","3","One","","1","","Square Feet","1951","1,581","1,963"
"1","T3490786","ACT","14022 CHERRY LAKE DR","TAMPA","33618","$525,000","","","","10","10","One","","2","","Square Feet","1974","2,195","3,403"
"1","T3489816","ACT","3008 TARAGROVE DR","TAMPA","33618","$525,000","","","","13","13","One","","2","","Square Feet","1978","1,911","3,148"
"1","T3487182","ACT","11647 FOX CREEK DR","TAMPA","33635","$525,000","","","","20","20","One","","2","","Square Feet","1991","1,762","2,685"
"1","T3486782","ACT","2211 GREEN OAKS LN","TAMPA","33612","$525,000","","","","32","32","One","","2","","Square Feet","1997","1,886","2,476"
"1","T3483068","ACT","3011 TARAGROVE DR","TAMPA","33618","$525,000","","","","47","47","Two","","2","20x24","Square Feet","1979","1,956","3,174"
"1","T3482259","ACT","10809 TRAILING VINE DR","TAMPA","33610","$525,000","","","","53","53","Two","","2","","Square Feet","2021","2,522","2,970"
"1","T3481921","ACT","20026 BLUFF OAK BLVD","TAMPA","33647","$525,000","","","","52","52","One","","3","","Square Feet","2004","2,612","3,280"
"1","T3481905","ACT","18906 BEACHDROP PL","TAMPA","33647","$525,000","","","","31","31","Two","","3","","Square Feet","1998","2,293","3,282"
"1","T3481581","ACT","13448 WHITE SAPPHIRE RD","RIVERVIEW","33579","$525,000","","","","55","55","One","","3","00x00","Square Feet","2018","2,748","3,630"
"1","T3481424","ACT","9216 EUROPEAN OLIVE WAY","RIVERVIEW","33578","$525,000","","","","55","98","Two","","2","","Square Feet","2013","2,964","4,037"
"1","T3481207","ACT","12809 SATIN LILY DR","RIVERVIEW","33579","$525,000","","","","46","46","One","","3","","Square Feet","2019","2,714","3,630"
"1","T3480471","ACT","11439 GREEN HARVEST DR","RIVERVIEW","33578","$525,000","","","","60","60","Two","","2","15x20","Square Feet","2021","3,196","3,760"
"1","T3477062","ACT","11508 SAGE CANYON DR","RIVERVIEW","33578","$525,000","","","","59","59","Two","","2","21x21","Square Feet","2021","2,949","3,405"
"1","U8214523","ACT","10807 SAGE CANYON DR","RIVERVIEW","33578","$525,000","","","","89","89","One","","3","","Square Feet","2021","2,557","2,557"
"1","T3473167","ACT","11505 GLENMONT DR","TAMPA","33635","$525,000","","","","74","74","One","","2","","Square Feet","1995","2,259","2,761"
"1","T3458075","ACT","1046 SYLVIA LN","TAMPA","33613","$525,000","","","","160","160","One","","3","","Square Feet","1983","2,545","3,705"
"1","T3485257","ACT","15120 TRAIL CREEK PL","TAMPA","33625","$528,000","","","","37","37","One","","2","","Square Feet","1985","2,118","2,606"
"1","O6163033","ACT","12210 MORGANS BLUFF PL","RIVERVIEW","33579","$529,000","","","","10","10","Two","","3","","Square Feet","2017","3,067","3,711"
"1","T3473022","ACT","13112 GREEN VIOLET DR","RIVERVIEW","33579","$529,000","","","","93","93","Two","","2","","Square Feet","2017","2,571","2,571"
"1","T3462222","ACT","2731 WILLIAMS RD","BRANDON","33510","$529,000","","","","143","143","Two","","","","Square Feet","1925","2,817","3,037"
"1","W7856707","ACT","11016 TAHITI ISLE LN","TAMPA","33647","$529,000","","","","137","137","Two","","2","","Square Feet","2015","2,900","3,608"
"1","T3488822","ACT","9730 BAY COLONY DR","RIVERVIEW","33578","$529,900","","","","17","17","One","","2","20x20","Square Feet","2003","2,391","2,940"
"1","T3485450","ACT","304 W JEAN ST","TAMPA","33604","$529,900","","","","32","32","Two","","1","","Square Feet","1927","1,634","2,648"
"1","T3482897","ACT","4703 W WISCONSIN AVE","TAMPA","33616","$529,900","","","","24","24","One","","","","Square Feet","1956","1,756","1,756"
"1","T3471802","ACT","11502 BALINTORE DR","RIVERVIEW","33579","$529,900","","","","96","96","Two","","2","","Square Feet","2013","3,080","3,566"
"1","L4938085","ACT","101 KIANA DR","BRANDON","33511","$529,990","","","","171","217","One","","2","21x22","Square Feet","2002","2,571","3,186"
"1","W7859217","ACT","1120 MOMS WAY","BRANDON","33510","$530,000","","","","52","52","One","","2","","Square Feet","1999","2,390","2,938"
