"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3482237","ACT","15507 FENTRESS CT","TAMPA","33647","A REP OF TAMPA PALMS UNIT 1B","","3,405","$675,000","4","3","1","1988","Private, Community","Single Family Residence","$7,341.35","45","45","","","","$198.24","","","FLORIDA EXECUTIVE REALTY","Kristy Darragh","261504044","","Tampa","Tampa"
"1","T3470997","ACT","5802 N SUWANEE AVE","TAMPA","33604","SEMINOLE HEIGHTS NORTH","","1,964","$675,000","4","3","0","1982","None","Single Family Residence","$7,981.77","94","94","","","","$343.69","","","COLDWELL BANKER REALTY","Jason Pithers","261523118","","Tampa","Tampa"
"1","T3465739","ACT","3901 N CLEARFIELD AVE","TAMPA","33603","HAGLE SUB S OF 1/2 OF LOTS 18 & 19","","1,438","$675,000","3","2","0","1979","None","Single Family Residence","$711.17","127","127","","","","$469.40","","","BOARDWALK REALTY ASSOCIATES, LLC","Luis Charbonier","260041679","","Tampa","Tampa"
"1","T3455021","ACT","3407 S LIGHTNER DR","TAMPA","33629","BEL MAR SHORES REV","","2,173","$675,000","4","2","0","1954","None","Single Family Residence","$2,382.00","170","170","","","","$310.63","","","WILLIS & ASSOCIATES INC.","Cary Collier","261535071","","Tampa","Tampa"
"1","T3477927","ACT","8257 SWANN HOLLOW DR","TAMPA","33647","WEST MEADOWS PARCELS 12A 12B-1","","2,578","$677,000","4","2","0","2002","Private, Community","Single Family Residence","$4,087.20","219","71","","","","$262.61","","","OLYMPUS EXECUTIVE REALTY TAMPA INC","Rosaura M Mora","261504981","","Tampa","Tampa"
"1","T3442103","ACT","12085 ORCHID ASH ST","RIVERVIEW","33579","CEDARBROOK","","4,193","$678,000","5","4","0","2023","None","Single Family Residence","$0.00","167","167","","","","$161.70","","","PULTE REALTY OF WEST FLORIDA LLC","Carla Martin","261561679","","Tampa","Tampa"
"1","T3474449","ACT","110 WOODDALE DR","BRANDON","33511","UNPLATTED","","2,460","$679,900","4","3","0","1972","Private","Single Family Residence","$7,741.00","113","83","","","","$276.38","","","ERA AMERICAN SUNCOAST REALTY","Kenneth Sargent","275512360","","Tampa","Tampa"
"1","T3488179","ACT","11511 ARECA RD","TAMPA","33618","CARROLLWOOD SUB UN 17","","2,250","$680,000","3","2","0","1969","None","Single Family Residence","$4,215.55","22","22","","","","$302.22","","","PINEYWOODS REALTY LLC","Austin Murphy","261556865","","Tampa","Tampa"
"1","T3486533","ACT","19107 NATURE PALM LN","TAMPA","33647","WEST MEADOWS PRCLS 21 & 22","","3,457","$680,000","5","4","0","2004","Community","Single Family Residence","$11,363.00","33","33","","","","$196.70","","","COLDWELL BANKER REALTY","Robert Lugo, PA","261522785","","Tampa","Tampa"
"1","T3491858","ACT","7708 S SPARKMAN ST","TAMPA","33616","PORT TAMPA CITY MAP","","2,237","$685,000","3","2","1","2013","None","Single Family Residence","$5,345.00","3","3","","","","$306.21","","","PREMIER SOTHEBYS INTL REALTY","Kali Denault","261556955","","Tampa","Tampa"
"1","T3481635","ACT","11224 CAVALIER PL","TAMPA","33626","MANDOLIN RESERVE","","2,646","$687,000","4","2","1","2001","None","Single Family Residence","$6,052.00","39","39","","","","$259.64","","","REAL BROKER, LLC","Amanda Siftar","261539451","","Tampa","Orlando Regional"
"1","T3491941","ACT","10718 DALTON AVE","TAMPA","33615","TAMPA SHORES INC 1 UNIT 2","","1,390","$689,000","3","2","0","1961","Private","Single Family Residence","$5,730.95","4","4","","","","$495.68","","","CHARLES RUTENBERG REALTY INC","Jeff Stampfli","261534351","","Tampa","Pinellas Suncoast"
"1","T3490918","ACT","10711 DALTON AVE","TAMPA","33615","TAMPA SHORES INC 1 UNIT 2","","1,399","$689,000","3","2","0","1961","Private","Single Family Residence","$5,122.48","9","9","","","","$492.49","","","CHARLES RUTENBERG REALTY INC","Jeff Stampfli","261534351","","Tampa","Pinellas Suncoast"
"1","U8216752","ACT","10210 HOLLAND RD","RIVERVIEW","33578","AVELAR CREEK NORTH","","3,412","$689,000","5","4","0","2010","Private, Community","Single Family Residence","$6,574.00","69","69","","","","$201.93","","","ENGEL & VOLKERS MADEIRA BEACH","Evan Pedone","260042669","","Pinellas Suncoast","Pinellas Suncoast"
"1","U8214951","ACT","13536 LAKE MAGDALENE DR","TAMPA","33613","LAKE MAGDALENE ARMS ESTATES SC 1","","2,583","$689,990","4","2","1","1975","Private","Single Family Residence","$5,048.33","74","74","","","","$267.13","","","SHORE PROPERTY GROUP","Trudy Austin Sessa, PA","260013655","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3487186","ACT","7024 BLOSSOM AVE","TAMPA","33614","PINECREST VILLA","","1,826","$690,000","4","2","1","1993","None","Single Family Residence","$434.00","24","24","","","","$377.88","","","COLDWELL BANKER REALTY","Mitchell Eckley","261537773","","Tampa","Tampa"
